lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.005,10,64,1,50.00,0.00
0.005,10,64,2,49.98,0.04
0.005,10,64,4,50.62,1.61
0.005,10,64,8,50.17,0.49
0.005,20,8,1,62.20,8.00
0.005,20,8,2,62.85,1.44
0.005,20,8,4,60.27,3.73
0.005,20,8,8,60.92,6.36
0.005,20,16,1,56.18,3.11
0.005,20,16,2,56.42,6.39
0.005,20,16,4,58.67,5.12
0.005,20,16,8,53.18,4.52
0.005,20,32,1,52.38,2.89
0.005,20,32,2,58.70,5.43
0.005,20,32,4,56.57,4.11
0.005,20,32,8,56.83,5.71
0.005,20,64,1,51.65,2.80
0.005,20,64,2,52.25,2.61
0.005,20,64,4,51.83,1.75
0.005,20,64,8,53.25,3.25
0.005,30,8,1,59.90,6.29
0.005,30,8,2,64.00,4.23
0.005,30,8,4,66.20,8.23
0.005,30,8,8,58.35,3.97
0.005,30,16,1,59.55,1.44
0.005,30,16,2,61.90,8.18
0.005,30,16,4,59.27,5.60
0.005,30,16,8,63.67,4.81
0.005,30,32,1,61.00,1.41
0.005,30,32,2,61.67,2.82
0.005,30,32,4,59.90,4.39
0.005,30,32,8,62.65,2.03
0.005,30,64,1,52.80,2.49
0.005,30,64,2,59.40,6.74
0.005,30,64,4,54.60,2.98
0.005,30,64,8,51.73,1.88
0.005,40,8,1,65.65,6.24
0.005,40,8,2,64.62,6.88
0.005,40,8,4,67.85,9.39
0.005,40,8,8,64.97,6.89
0.005,40,16,1,60.95,3.16
0.005,40,16,2,63.27,3.22
0.005,40,16,4,63.15,2.09
0.005,40,16,8,60.45,6.08
0.005,40,32,1,62.85,2.88
0.005,40,32,2,61.60,2.85
0.005,40,32,4,61.15,4.91
0.005,40,32,8,63.65,2.36
0.005,40,64,1,55.75,3.40
0.005,40,64,2,61.40,1.93
0.005,40,64,4,53.60,2.31
0.005,40,64,8,58.08,4.29
0.005,50,8,1,63.88,3.04
0.005,50,8,2,64.55,3.78
0.005,50,8,4,64.15,6.18
0.005,50,8,8,63.30,4.21
0.005,50,16,1,64.88,4.50
0.005,50,16,2,66.70,5.19
0.005,50,16,4,67.03,5.49
0.005,50,16,8,63.38,5.50
0.005,50,32,1,62.15,4.53
0.005,50,32,2,60.47,3.13
0.005,50,32,4,65.55,2.21
0.005,50,32,8,65.53,3.53
0.005,50,64,1,57.52,4.16
0.005,50,64,2,60.42,4.00
0.005,50,64,4,58.83,2.06
0.005,50,64,8,56.95,5.53
0.005,100,8,1,65.83,7.01
0.005,100,8,2,64.33,8.33
0.005,100,8,4,64.65,6.93
0.005,100,8,8,67.53,8.56
0.005,100,16,1,67.05,6.19
0.005,100,16,2,64.90,6.68
0.005,100,16,4,65.53,7.48
0.005,100,16,8,67.22,6.35
0.005,100,32,1,67.95,7.43
0.005,100,32,2,70.05,8.73
0.005,100,32,4,66.38,4.57
0.005,100,32,8,66.20,7.86
0.005,100,64,1,63.80,3.78
0.005,100,64,2,61.62,4.56
0.005,100,64,4,62.85,0.69
0.005,100,64,8,63.33,1.18
0.005,150,8,1,66.17,5.91
0.005,150,8,2,65.47,5.93
0.005,150,8,4,63.83,1.21
0.005,150,8,8,66.52,8.62
0.005,150,16,1,64.47,4.28
0.005,150,16,2,63.70,6.62
0.005,150,16,4,66.28,4.48
0.005,150,16,8,64.55,6.40
0.005,150,32,1,67.80,8.71
0.005,150,32,2,66.23,4.48
0.005,150,32,4,65.90,6.85
0.005,150,32,8,64.27,6.12
0.005,150,64,1,67.10,4.75
0.005,150,64,2,65.10,5.74
0.005,150,64,4,64.92,5.45
0.005,150,64,8,64.95,5.17
0.0001,10,8,1,45.60,10.70
0.0001,10,8,2,49.77,0.25
0.0001,10,8,4,46.88,5.10
0.0001,10,8,8,50.33,1.72
0.0001,10,16,1,22.65,16.97
0.0001,10,16,2,21.32,18.29
0.0001,10,16,4,15.88,18.60
0.0001,10,16,8,32.83,17.65
0.0001,10,32,1,22.62,22.85
0.0001,10,32,2,19.23,19.02
0.0001,10,32,4,32.92,19.48
0.0001,10,32,8,11.07,14.28
0.0001,10,64,1,18.23,20.49
0.0001,10,64,2,2.18,3.60
0.0001,10,64,4,17.07,19.54
0.0001,10,64,8,21.88,19.00
0.0001,20,8,1,52.30,2.38
0.0001,20,8,2,50.75,3.14
0.0001,20,8,4,51.42,2.14
0.0001,20,8,8,50.32,0.60
0.0001,20,16,1,49.88,0.22
0.0001,20,16,2,43.38,11.33
0.0001,20,16,4,48.80,3.58
0.0001,20,16,8,50.42,0.74
0.0001,20,32,1,31.00,16.83
0.0001,20,32,2,23.07,19.79
0.0001,20,32,4,37.80,21.42
0.0001,20,32,8,30.92,18.93
0.0001,20,64,1,31.93,20.18
0.0001,20,64,2,8.62,14.77
0.0001,20,64,4,13.30,13.18
0.0001,20,64,8,30.55,12.74
0.0001,30,8,1,53.62,5.06
0.0001,30,8,2,50.10,1.01
0.0001,30,8,4,48.90,2.34
0.0001,30,8,8,51.17,2.15
0.0001,30,16,1,50.58,1.12
0.0001,30,16,2,51.35,1.56
0.0001,30,16,4,50.92,1.60
0.0001,30,16,8,49.20,1.12
0.0001,30,32,1,49.95,0.22
0.0001,30,32,2,46.53,3.57
0.0001,30,32,4,50.85,1.58
0.0001,30,32,8,36.83,20.43
0.0001,30,64,1,30.38,18.68
0.0001,30,64,2,26.55,24.36
